"Oct 5, 2018","""An Amazing Place to Work""",3.8,Current Employee - Software Development Manager,"I've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart, and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for … 

Show More","No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.

Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life … 
Show More","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
"Jan 10, 2016","""Great Place to work""",5.0,Current Employee - Anonymous Employee,Excellent work culture and people. Lots of opportunities to learn and enhance your skills,The growth path is not always clear.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
"Feb 20, 2016","""You Get What You Put In""",5.0,Current Employee - Anonymous Employee,"Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome.","You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
"Dec 17, 2013","""Exciting Work, Abusive Culture""",5.0,Current Employee - Senior Engineering Manager,"Jeff Bezos and his ""S-Team"" are brilliant and continue to make great decisions for long-term growth.

You work with smart people, you work on exciting projects, you are pushed to your limits...which can be rewarding when you accomplish great things. The diversity of the potential work and innovation can be very alluring. I've often called Amazon my ""Sexy Mistress...she's emotionally abusive, but she's so sexy … 
Show More","The management process is abusive, and I'm currently a manager. I've seen too much ""behind the wall"" and hate how our individual performers can be treated. You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
"Mar 23, 2017","""Can be amazing for some people, horrible for others""",3.0,Current Employee - Software Development Manager,"Amazon is doing lot's of cool stuff...but lots of boring stuff too. There are really well run teams...and very badly run teams. The experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year.

 - Amazon is built, quite deliberately, to be Darwinian. You can generally expect that anyone who's been here for … 




Show More","- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five … 

Show More","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
"May 15, 2017","""We are now in a world where we are condescended to by our inferiors""",4.0,Former Employee - Anonymous Employee,This company gets A list performance from C list employees. The culture is quick and hard charging. You are always working in relevant and meaningful projects.,"Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.

Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking … 

Show More","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
"Mar 29, 2017","""Warehouse associate, full time for over two years""",4.0,Former Employee - Tier I Warehouse Associate,"Great starting pay and the ability to get raises very quickly. Full training in all areas are offered and if your willing to work hard and sweat everyday for 10 hours a day, 4 days a week, then this is the job for you. The 4 day weeks go by quick, it can be exhausting so proper rest and a healthy lifestyle will help you stay strong within this company. Beat benefits as well once you are a hired on as a full time … 
Show More","After 3 years of working with the company you ""cap out"" at $15.75, meaning you can no longer make any more money than that as a tier 1 associate. Your expected to want to move up in the company and that is the only way to make a better hourly wage, by advancing into management and operations management positions if there are any openings.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
"Oct 2, 2018","""Great place to learn, churn n burn culture in finance""",4.0,Current Employee - Finance Manager,"- super smart people, the best of the best from schools
- if you get hired here, you will be hirable anywhere, recruiting process is tough
- the pay is above average, probably 1.5 times elsewhere (but the expected results are 150% of elsewhere too)
- lots of opportunities to work on new, innovative projects
- cool SLU campus, lots of options for food and drinks after work","- frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free Prime), no fitness allowance, poor 401k
- your peers will stab you in the back, your manager will blame you for their errors, you can't trust anyone
- people who throw others under the bus and take credit for other people's work get promoted
- expectations 60 -70 hours a week, some … 
Show More","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
"Oct 3, 2018","""Raises the bar on your career""",4.0,Current Employee - Anonymous Employee,"Amazon will push you like no other company. It's not just the velocity, but also the density - rigor, detail, thoroughness, follow up. I've never been this sharp, crisp, or quick on my feet. Moreover, I've never felt like my leadership has demanded anything unreasonable of me. The challenge is to ruthlessly prioritize and push back to ensure you have work-life balance. But this is achievable.","The decentralized nature of Amazon fosters a lot of fragmentation and redundancies, but the model tends to work in the long-term. Also, I've noticed that a pre-occupation with data can sometimes hinder product imagination, particularly in the lower-level product teams. Still, the good ideas tend to get bubbled up.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
"Oct 4, 2018","""Amazon""",5.0,Current Employee - Anonymous Employee,"Good pay
Amazing and cheap benefits
bonuses
stock RSU",little to none it is mostly good but like any job there is some not so good parts,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
