date,title,overall_rating,employee_details,pros,cons,ratings_breakup,outlook
5-Oct-18,"""An Amazing Place to Work""",3.8,Current Employee - Software Development Manager,"I've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart, and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for … 

Show More","No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.

Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life … 
Show More","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
10-Jan-16,"""Great Place to work""",5,Current Employee - Anonymous Employee,Excellent work culture and people. Lots of opportunities to learn and enhance your skills,The growth path is not always clear.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
20-Feb-16,"""You Get What You Put In""",5,Current Employee - Anonymous Employee,"Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome.","You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
17-Dec-13,"""Exciting Work, Abusive Culture""",5,Current Employee - Senior Engineering Manager,"Jeff Bezos and his ""S-Team"" are brilliant and continue to make great decisions for long-term growth.

You work with smart people, you work on exciting projects, you are pushed to your limits...which can be rewarding when you accomplish great things. The diversity of the potential work and innovation can be very alluring. I've often called Amazon my ""Sexy Mistress...she's emotionally abusive, but she's so sexy … 
Show More","The management process is abusive, and I'm currently a manager. I've seen too much ""behind the wall"" and hate how our individual performers can be treated. You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
23-Mar-17,"""Can be amazing for some people, horrible for others""",3,Current Employee - Software Development Manager,"Amazon is doing lot's of cool stuff...but lots of boring stuff too. There are really well run teams...and very badly run teams. The experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year.

 - Amazon is built, quite deliberately, to be Darwinian. You can generally expect that anyone who's been here for … 




Show More","- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The stro","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
15-May-17,"""We are now in a world where we are condescended to by our inferiors""",4,Former Employee - Anonymous Employee,This company gets A list performance from C list employees. The culture is quick and hard charging. You are always working in relevant and meaningful projects.,"Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.

Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking … 

Show More","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
29-Mar-17,"""Warehouse associate, full time for over two years""",4,Former Employee - Tier I Warehouse Associate,"Great starting pay and the ability to get raises very quickly. Full training in all areas are offered and if your willing to work hard and sweat everyday for 10 hours a day, 4 days a week, then this is the job for you. The 4 day weeks go by quick, it can be exhausting so proper rest and a healthy lifestyle will help you stay strong within this company. Beat benefits as well once you are a hired on as a full time … 
Show More","After 3 years of working with the company you ""cap out"" at $15.75, meaning you can no longer make any more money than that as a tier 1 associate. Your expected to want to move up in the company and that is the only way to make a better hourly wage, by advancing into management and operations management positions if there are any openings.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
2-Oct-18,"""Great place to learn, churn n burn culture in finance""",4,Current Employee - Finance Manager,"- super smart people, the best of the best from schools
- if you get hired here, you will be hirable anywhere, recruiting process is tough
- the pay is above average, probably 1.5 times elsewhere (but the expected results are 150% of elsewhere too)
- lots","- frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free Prime), no fitness allowance, poor 401k
- your peers will stab you in the back, your manager will blame you for their errors, you ca","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
3-Oct-18,"""Raises the bar on your career""",4,Current Employee - Anonymous Employee,"Amazon will push you like no other company. It's not just the velocity, but also the density - rigor, detail, thoroughness, follow up. I've never been this sharp, crisp, or quick on my feet. Moreover, I've never felt like my leadership has demanded anything unreasonable of me. The challenge is to ruthlessly prioritize and push back to ensure you have work-life balance. But this is achievable.","The decentralized nature of Amazon fosters a lot of fragmentation and redundancies, but the model tends to work in the long-term. Also, I've noticed that a pre-occupation with data can sometimes hinder product imagination, particularly in the lower-level product teams. Still, the good ideas tend to get bubbled up.","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
4-Oct-18,"""Amazon""",5,Current Employee - Anonymous Employee,"Good pay
Amazing and cheap benefits
bonuses
stock RSU",little to none it is mostly good but like any job there is some not so good parts,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
5-Oct-18,"""Part time Sortation Associate""",5,Former Employee - Anonymous Employee,They are willing to give responsibility to basically anyone that shows the willingness to do what's needed.,"Late hours, little opportunities for advancement, and hours are subject to change based off business needs","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
30-Sep-18,"""Awesome if you love independence and hate bureaucracy""",5,Current Employee - Software Development Manager,"Freedom to take your ideas from inception to execution. Not confined by roles/titles. Very bottom-up culture with decisions driven from recommendations collected from team members. Ever dreamt of running your own business without worrying about funding yourself? - Amazon can offer you that kind of freedom if you manage to convince others with your ideas. You are surrounded by really smart and really nice (most) … 
Show More",Not for someone who can't go beyond their role definition. Do it yourself culture that can be frustrating in the beginning .,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
4-Oct-18,"""Most fun, Andy the most stress""",4,Current Employee - Program Manager,"Always learning, innovating pay is great",Does t always have a clear direction,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
5-Oct-18,"""Great Company""",4,Current Employee - Learning Coordinator,Love my job! Love Amazons culture of innovation,"Turn over of managers, its ridiculous","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
2-Oct-18,"""Product Manager (AWS)""",4,Current Employee - Product Manager,"The scale and impact of your work is amazing, people are incredibly intelligent, and you will never be bored. Finding another company with so much opportunity in terms of learning, impact and variety of work will be very difficult.","You have to be comfortable deprioritizing a lot of work and helping develop resource plans or you'll easily burn out trying to handle everything. Promotions are really really hard. I haven't had a raise in over three years. First line managers can be very good, or very bad - pick your team wisely.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
3-Oct-18,"""Forklift driver""",5,Former Employee - Forklift Driver,Because of the innovative strategies and great ways to keep customers coming back,No downside in my experience,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
4-Oct-18,"""Program Manager""",5,Current Employee - Anonymous Employee,Competitive Pay and Beneifits are generous,Does not care about mental health,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
4-Oct-18,"""Seasonal Associate""",5,Former Employee - Anonymous Employee,"Flexible hours, helpful management and staff, open to listening to and taking their employees thoughts, ideas and concerns regarding overall organizational improvement into consideration.","Mandatory overtime, can't think of any other cons","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
4-Oct-18,"""Supervisor""",5,Current Employee - Supervisor,"Good benefits, salary, safety enviroment","Fast enviroment, a lot pressure, detailed","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
4-Oct-18,"""Sales Associate""",5,Current Employee - Anonymous Employee,Benefits package is good. Good mobility upwards,Sales and numbers to hit can become stressful,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
4-Oct-18,"""Work Hard, Have Fun, Make History""",5,Current Employee - Senior BI Manager,"I started at Amazon as a skeptic, but 2.5 years in now, I'm a full convert. Amazon is full of opportunities both in terms of career growth and business impact. It's also a company chock full of talented people who will challenge you and help you to become a better version of yourself. I am happy to be part of such an innovative and fast moving company and look forward to contributing for years to come.","Like any large company, there are good and bad parts, good and bad managers, good and bad businesses. With that said, the good far outweighs the bad across the board, otherwise you wouldn't see so much success. If you're looking for a place where someone will hold your hand, spoon feed you requirements and coddle you all along the way, Amazon isn't the place for you. If you're willing to grow, be challenged, take … 
Show More","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
3-Oct-18,"""Great learning experience""",4,Former Employee - Anonymous Employee,"Great learning experiences
High growth company","Cut throat competition
No work-life balance","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
3-Oct-18,"""Stress stress stress""",4,Current Employee - Customer Service Representative,Meeting new people everyday day,Work you like a dog,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
4-Oct-18,"""Fair Compensation For Amount Worked""",4,Current Employee - Anonymous Employee,New base pay of $15. Friendly people. Good benefits. Helps me stay fit and active.,401k match isn't great. Long hours with lots of heavy lifting. Can be kind of lonely in certain positions.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
4-Oct-18,"""Area Manager""",4,Current Employee - Anonymous Employee,"Learn a lot about the company, great opportunities for growth, and travel","Forget about having a personal life, and get a good chiropractor","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
4-Oct-18,"""Warehouse fullfillment""",4,Current Employee - Anonymous Employee,Good pay and benefits,10 to 12 hours Long shifts,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
4-Oct-18,"""Multiple jobs""",4,"Current Employee - Water Spider, Problem Solver, Stow, Receive and VRC","They try to make it a positive environment. You meet a lot of cool different types of people. They gave me a lot of opportunities. I started at stow. I am now usually problem solving and water spidering everyday, and hardly ever stow. Ive also done receiving. Problem solving job is nice because you use youre brain, it's not as hard on your body as water spidering and not as boring as stow. Problem solving is a lot … 
Show More",Stow and receive has rates and if youre not fast enough you get written up. Sometimes the wip is the reason u cant get a fast rate and managers tend not to take that into consideration but Once you prove youself in stow they will let you try other job duties.,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
4-Oct-18,"""Technical Account Manager""",4,Former Employee - Anonymous Employee,"Good work life balance if you get good customers, flexible schedule. Opportunities to learn and get certified.",Hard to get any type of compensation increases year over year.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
