Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Senior Manager""","Oct 4, 2018",5.0,Current Employee,Senior Manager,"San Francisco, CA",Recommends,Positive Outlook,Benefits are comparable to other financial services firms,Great work/life balance,Company isn't doing enough to ensure equal representation of gender and cultural diversity at executive level.,Create a formal policy for pay parity
"""Specialist - Operations""","Oct 2, 2018",5.0,Current Employee,Anonymous Employee,"Lonetree, CO",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Culture, Sabbaticals, Volunteering opportunities, benefits, hours.",Very top heavy for management.,
"""Business Analyst""","Sep 30, 2018",5.0,Current Employee,Business Analyst,"Austin, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 8 years),Charles Schwab is a an excellent Company. Even though it is a large Company they are still Employee focused.,Something vertical movement can be a little slow.,
"""Great Culture""","Sep 26, 2018",5.0,Current Employee,Talent Sourcing Advisor,"Chicago, IL",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 3 years),"Great management that truly cares about its employees, coaching opportunities, sabbatical after every 5 years,",not a large campus in Chicago,
"""Job Review""","Sep 26, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Very nice environment to work in.,no cons come to my mind,Keep up the good work
"""Senior Security Analyst""","Sep 26, 2018",4.0,Current Employee,Senior Security Analyst,"Phoenix, AZ",Recommends,Neutral Outlook,I have been working at Charles Schwab full-time (More than 10 years),Super fun place to work,Lack of telecommuting and flexible work arrangements.,Listen more and talk less
"""Great value based financial services company""","Sep 23, 2018",5.0,Current Employee,Vice President,,Recommends,,Smart and nice people,Customer focused,More career opportunities if geographically mobile,
"""AFSP""","Sep 23, 2018",5.0,Current Employee,Financial Services Professional,"Westlake, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),"Great Company, I enjoy the leadership very much. They are interested in assisting you in achieving your professional goals at the company and are more than happy to assist you when you need it, even the directors are very friendly and helpful.",I have not found anything that I dislike about the company,Keep up the great work you guys
"""Director""","Sep 18, 2018",5.0,Former Employee,Director,"San Francisco, CA",Recommends,Neutral Outlook,I worked at Charles Schwab full-time (More than 5 years),Schwab offered strong corporate vision and values. It was a collaborative environment with a highly matrixed organization.,It could be highly political sometimes,
"""Statistical Analyst""","Sep 17, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,"Highly committed to client care, great work life balance",Slow to innovate and create change,
"""Micro managed""","Oct 1, 2018",3.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time (More than 5 years),Good people to work with,"Repetitive tasks, staring at screen all day, becoming production-oriented.",
"""Stagnant but good work life balance""","Oct 2, 2018",2.0,Current Employee,Managing Director,"San Francisco, CA",Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab full-time (More than 5 years),Nice work-life balance and friendly people,Very limited career advancement and what advancement that occurs is very opaque.,Get serious about career development.
"""Good place to start your career""","Oct 1, 2018",3.0,Current Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,Limited advancement opportunities unless you’re willing to relocate,Innovative financial products,Low pay,Offer higher salaries based on experience
