Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Operations manager""","Oct 5, 2018",5.0,Current Employee,Operations Manager,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Perks, food, spaces, culture, health care and work-life balance","Flat org, hard to grow",
"""Moving at the speed of light, burn out is inevitable""","Jun 21, 2013",4.0,Former Employee,Program Manager,"Mountain View, CA",Doesn't Recommend,Negative Outlook,Show More,"1) Food, food, food. 15+ cafes on main campus (MTV) alone. Mini-kitchens, snacks, drinks, free breakfast/lunch/dinner, all day, errr'day.","1) Work/life balance. What balance? All those perks and benefits are an illusion. They keep you at work and they help you to be more productive. I've never met anybody at Google who actually time off on weekends or on vacations. You may not hear management say, ""You have to work on weekends/vacations"" but, they set the culture by doing so - and it inevitably trickles down. I don't know if Google inadvertently hires … ",
"""Great balance between big-company security and fun, fast-moving projects""","May 10, 2014",5.0,Current Employee,Software Engineer III,"New York, NY",Recommends,Positive Outlook,Show More,"* If you're a software engineer, you're among the kings of the hill at Google. It's an engineer-driven company without a doubt (that *is* changing, but it's still very engineer-focused).","* It *is* becoming larger, and with it comes growing pains: bureaucracy, slow to respond to market threats, bloated teams, cross-divisional tension (though nothing remotely approaching that of Microsoft's internal tension).",
"""The best place I've worked and also the most demanding.""","Feb 8, 2015",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,Show More,You can't find a more well-regarded company that actually deserves the hype it gets.,I live in SF so the commute can take between 1.5 hours to 1.75 hours each way on the shuttle - sometimes 2 hours each way on a busy day or rainy day. That means being on the bus for 3-4 hours PER DAY. It's a wired bus though which means you can work on the way to Mountain View. But it can feel brutal.,
"""Unique, one of a kind dream job""","Jul 19, 2018",5.0,Former Employee,Software Engineer,"Los Angeles, CA",Recommends,Neutral Outlook,Roll back the trend towards becoming a regular company.,"Google is a world of its own. At every other company, there were lots of people who had serious gaps in their skills. At Google, I could have a serious work conversation about technology with everyone and could trust that they have solid expertise. In that way, Google is a sheltered garden from the rest of the world.","If you don't work in MTV (HQ), you will be given work. However if you are passionate and want to advance your career, you should relocated to MTV. Any project that started doing well and getting important seemed to get transferred there. Promotion opportunities are better there. It seemed that everyone who relocated from another location to MTV, was a lot happier.",
"""Amazing time and work!""","Sep 28, 2018",5.0,Former Employee,Software Engineering Intern,"Mountain View, CA",Recommends,Positive Outlook,Healthy work environment.,Work life balance.,"Things progress slowly compared to startups, other companies that believe in move fast break things!",
"""Excellent Company""","Oct 4, 2018",5.0,Current Employee,Operations Project Coordinator,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Forward thinking Tech company. Really fun place to work. Free activities, meals and cafe. Not all play - you will work!","If you are a Temp, Vendor, or Contractor (TVCs) check how long you are allowed to work at Google before you need to take a break in service (often two years and then you must take a six-month break-in-service before returning).",
"""Overall is very good""","Oct 4, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"Free food, great culture, and talented colleagues",Things move a little bit slow,
"""Intern Experience""","Oct 1, 2018",5.0,Former Employee,Intern,"Los Angeles, CA",Recommends,Positive Outlook,I worked at Google (Less than a year),Excellent environment to work for,Office is too comfortable to work for,
"""Software Engineering Intern""","Oct 4, 2018",5.0,Current Employee,Anonymous Employee,,,,,"Best IT Company, Great work-life balance, Talented people","Conversion is hard, they don't care what your internship project",
"""Great atmosphere""","Oct 4, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,,I worked at Google full-time,Great atmosphere to work in.,Stressful sometimes but that's okay,
"""An exceptional company to work for""","Oct 2, 2018",5.0,Former Employee,Software Engineer In Test,"Mountain View, CA",Recommends,Positive Outlook,Food is everywhere,Smart people all around you. Many businesses to choose work from and many exciting and challenging projects to push your limits and learn from.,"I can't think of any serious cons. However, you will find yourself jumping teams every couple of years as project matures and new ones start. If you find this as a Con then it will be for you.",
"""An exceptional company to work for""","Oct 2, 2018",5.0,Former Employee,Software Engineer In Test,"Mountain View, CA",Recommends,Positive Outlook,Food is everywhere,Smart people all around you. Many businesses to choose work from and many exciting and challenging projects to push your limits and learn from.,"I can't think of any serious cons. However, you will find yourself jumping teams every couple of years as project matures and new ones start. If you find this as a Con then it will be for you.",
"""Good company to work for""","Oct 2, 2018",5.0,Current Employee,Senior Program Manager,"Sunnyvale, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Benefits, mobility, exposure, talented people around","Too top heavy, less growth within",
"""Loved my time there!""","Sep 30, 2018",5.0,Current Employee,Anti-abuse Associate,"Sunnyvale, CA",Recommends,Positive Outlook,- silicon valley traffic and expenses aren't for everyone. much easier if you're young and single,"- standard silicon valley perks (free food, high salary, smart colleagues, etc.)",- standard massive company bureaucracy stuff,
"""Great Place!""","Sep 27, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,Cool environment and smart people,Workload can be very stressful at times,
"""Amazing workplace""","Sep 25, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,Great work life balance. Employees were all wonderful. Management helps you every step of the way.,No cons. Everything was amazing.,
"""Good""","Sep 26, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google part-time,"Good place to work, good pay","High expectations, lots of bosses",
"""Data Scientist""","Sep 26, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"Good pay, good environment, smart people","high housing price, heavy work load",
"""Designer""","Sep 15, 2018",5.0,Current Employee,Designer,"Mountain View, CA",Recommends,Positive Outlook,Big accomplishments are the norm and sometimes not appreciated or recognized,Best tech talent,Almost too many talented people - so much that incredible talent often is under-utilized,
"""Cart Boy""","Sep 24, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google part-time,Super fun in my opinion,Dont read this okay alright,
"""Associate""","Sep 24, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,Awesome work environment and benefits,no cons as such for Google,
"""Great Company""","Sep 22, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Nice culture. Nice manager. Work life balance.,The interview process is very long.,
"""Great Company""","Sep 23, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,"Great Pay, Great Flexibility, Nice Coworkers,",None really other than constant work that we never seem to have enough time to complete.,
"""Supply Chain Program Manager""","Sep 20, 2018",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",,,I have been working at Google full-time (Less than a year),"Life balance, the cultural is the best.","I dont really have Cons at this moment,.",
"""Data Analyst""","Sep 20, 2018",5.0,Former Employee,Anonymous Employee,,,,,"No work pressure,Friendly,Will have access to everything",nothing i can think of,
"""Awesome and supportive place to work""","Sep 20, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,The culture - the people are amazing! Hands down some of the smartest people you'll ever work with,It can be very large and bureaucratic at times,
"""OK job""","Oct 5, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,work life balance is good,growth is slow and complicated.,
"""PeopleOps""","Sep 16, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Great benefits, awesome perks, smart people",Takes a long time to get things done,
"""Hardware Engineer""","Sep 19, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Best place to work and grow,It's getting too big and crowded,
"""Enjoyed It""","Oct 4, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,I worked at Google full-time,"Staff are kind, compassionate, and more importantly, they are willing to Google your questions for you. :)","Sometimes people decided to use Bing rather than Google, which made me shed quite more than just a few fragile teardrops.",
"""Great place to work""","Sep 18, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Everyone here is wicked smart,Too many unhealthy snacks and too many massages ;),
"""Good place to work if you are not eager to do something""","Sep 17, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,You can balance work and life here. Good benefits for engineers.,You may not be able to participate in some interesting projects in the beginning.,
"""Software engineer""","Sep 17, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google part-time,Good work environment is good for me.,I dont think there is any cons.,
"""My experience at Google USA""","Sep 17, 2018",5.0,Former Employee,Anonymous Employee,,,,,"Great place to work, friendly people",Very busy schedule and high demands,
"""Review""","Sep 30, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Google part-time,"Rewarding, good teamwork, cool locations","Exhausting, Low pay, long commute, grunt work",
