,date,username,post
0,12:51AM,dino001,I never let anybody push me into a payment conversation. I think the best way to make the pesky salesman to go away is to say you think the competition has a better product and you need to check it out.
1,1:58AM,driver100,"abacomike said:
show previous quotes





Selection of a vehicle is essential to determine if the customer is a buyer.  In other words, “...sir, if the price is right, is this the vehicle you want to take home with you?...”

The answer to that one question after a car is selected will determine if the customer is a buyer.
 .




Great responses. To sell, you have to find out if there are objections....and then have an answer that solves it.
Another thing is to try to ask a question that has to be answered with more than a 'NO"". For example, rather than asking can I help you today, ask, is there a particular model you are looking for? NO, ends the conversation, a good question opens up the possibility of a conversation."
2,2:01AM,driver100,"dino001 said:
I never let anybody push me into a payment conversation. I think the best way to make the pesky salesman to go away is to say you think the competition has a better product and you need to check it out.
I would be as honest as possible, and say, ""I am considering this model, but I want to compare it to an X or even an X and Y"". And that is a very fair and reasonable thing to say."
3,2:10AM,bwia,"abacomike said:
show previous quotes


Selection of a vehicle is essential to determine if the customer is a buyer.  In other words, “...sir, if the price is right, is this the vehicle you want to take home with you?...”

The answer to that one question after a car is selected will determine if the customer is a buyer.  Examples of possible responses are:

1 Well, I need my wife here to decide
2 I don't have my checkbook
3 I have 4 more payments left on my lease
4 I really wanted leather seats..or..etc.
5 Well, I am really just looking
6 The car is for my daughter
7 Yes!

Answers 1-6 are objections to buying now.  It means the salesman must eliminate all objections except the price before he can proceed.  

1 Here’s the Keys- Drive It home and let her see it.

2 A credit card is fine or we have an internal draft you can sign until you bring in the check

3 I can take care of those remaining payments by buying the car from the leasing company

4 I have a car in stock exactly the way you want it equipped with leather seats “or” I can get that exact car by tomorrow morning 

5 No problem.  We have the car you want and I know we can price it right where you want to be.  How much did You want to pay?  $600 a month?  I know I can get it st that price or possibly less.

6 Let’s Drive the car to your daughter and have her test drive the car to see if it fits her needs.

7 OK, let’s see what I can do with management to get your price.

There are other approaches - but once you have a selection of a desirable vehicle, negotiations begin.  Without a solid selection, you have nothing.


Mike, thanks for the Master Class. This is truly the art of the deal. Come to think of it I don't remember any car salesman trying these tactics on me."
4,9:01AM,venture,"abacomike said:
show previous quotes





Selection of a vehicle is essential to determine if the customer is a buyer.  In other words, “...sir, if the price is right, is this the vehicle you want to take home with you?...”

The answer to that one question after a car is selected will determine if the customer is a buyer.  Examples of possible responses are:

1 Well, I need my wife here to decide
2 I don't have my checkbook
3 I have 4 more payments left on my lease
4 I really wanted leather seats..or..etc.
5 Well, I am really just looking
6 The car is for my daughter
7 Yes!

Answers 1-6 are objections to buying now.  It means the salesman must eliminate all objections except the price before he can proceed.  

1 Here’s the Keys- Drive It home and let her see it.

2 A credit card is fine or we have an internal draft you can sign until you bring in the check

3 I can take care of those remaining payments by buying the car from the leasing company

4 I have a car in stock exactly the way you want it equipped with leather seats “or” I can get that exact car by tomorrow morning 

5 No problem.  We have the car you want and I know we can price it right where you want to be.  How much did You want to pay?  $600 a month?  I know I can get it st that price or possibly less.

6 Let’s Drive the car to your daughter and have her test drive the car to see if it fits her needs.

7 OK, let’s see what I can do with management to get your price.

There are other approaches - but once you have a selection of a desirable vehicle, negotiations begin.  Without a solid selection, you have nothing.




It seems some salespeople think they can tell if someone is a serious buyer.

A few years ago I went to look at the previous model Ford Fusion. A former friend of mine was selling Fords so that made it easy.

When I showed up at the dealership he had one of the assistants they had there take me out in his demo Fusion. It was a used car he was driving at the time. It said ""9 miles to empty"" on the gas gauge and the brakes were shot. You had to pump them to stop.

He just didn't seem interested so I left.

A year or so later he made a comment that I wasn't a serious buyer then. He couldn't have been more wrong. I bought a Buick Regal 2 days later.

It makes you wonder how often this happens and how many sales are lost because a salesperson is a know-it-all."
5,10:45AM,karhill1,"Why would any knowledgeable car buyer allow a car sales person to engage them in a discussion which the sales person intends to use to eliminate and/or identify perceived ""objections""?

The single most important component of a solid buying strategy is for the buyer to assume control of the process. An essential part of assuming control is control of the discussion."
6,11:26AM,abacomike,"dino001 said:
I never let anybody push me into a payment conversation. I think the best way to make the pesky salesman to go away is to say you think the competition has a better product and you need to check it out.
Determining whether a customer is a buyer or not is not the single most important element in sales.  The most important element is developing a relationship with the customer.

Just because a customer comes into the showroom and states they are just looking or they are comparing brands is not important.  The job is to turn that looker into a future customer who will come back asking for you.

I can’t tell you how many “lookers” have bought cars from me that first visit - it’s because I was interested in what they wanted or needed or just providing him/her with honest and truthful information.  It’s developing a relationship with the customer."
7,11:39AM,abacomike,"karhill1 said:
Why would any knowledgeable car buyer allow a car sales person to engage them in a discussion which the sales person intends to use to eliminate and/or identify perceived ""objections""? The single most important component of a solid buying strategy is for the buyer to assume control of the process. An essential part of assuming control is control of the discussion.
Why?  Because that is how sales are made, karhill.  Most customers are not as aggressive as you claim they are or should be.  Whenever I would greet an aggressive or cocky customer, I just relaxed and let him control things until I had developed a relationship.  Rather than fight him, i just relaxed.  If I felt I was being “run over” by a customer, I let him “run me over” until he satisfied himself that he was in total control.  That is the way to deal with aggressive buyers.  Provide answers to his questions and if the interactions became overwhelming, I just thanked him for coming in.

Obnoxious customers are different.  They not only want control, but are nasty and antagonistic.  Those are the ones I just let the sales manager handle when I sold cars.  When I was a sales manager, if they continued their “run me over” attitude, I just gave them the name of a competing dealership and showed them the door.

But those cases were few and far between - thank goodness."
8,11:46AM,snakeweasel,"dino001 said:
I never let anybody push me into a payment conversation. I think the best way to make the pesky salesman to go away is to say you think the competition has a better product and you need to check it out.
Everyone is a payment buyer, the question is how many payments are they going to make?"
9,11:51AM,snakeweasel,"karhill1 said:
Why would any knowledgeable car buyer allow a car sales person to engage them in a discussion which the sales person intends to use to eliminate and/or identify perceived ""objections""? The single most important component of a solid buying strategy is for the buyer to assume control of the process. An essential part of assuming control is control of the discussion.
The customer always has control, they are the one who decides if there will be a sale or not. The salesman can control the conversation all he wants, I control the sale."
